"colour_image_dir","box_image_dir","label_text","turn_left","move_forward","turn_right","stop","xmin","ymin","xmax","ymax"
"cv2_colour_0.png","cv2_single_0.png","Moving forward","0","1","0","0","80","23","201","254"
"cv2_colour_1.png","cv2_single_1.png","Moving forward","0","1","0","0","85","14","206","253"
"cv2_colour_2.png","cv2_single_2.png","Not moving","0","0","0","1","72","0","217","253"
"cv2_colour_3.png","cv2_single_3.png","Moving forward","0","1","0","0","101","11","203","253"
"cv2_colour_4.png","cv2_single_4.png","Moving forward","0","1","0","0","98","71","163","254"
"cv2_colour_5.png","cv2_single_5.png","Turning right","0","0","1","0","170","80","234","254"
"cv2_colour_6.png","cv2_single_6.png","Moving forward","0","1","0","0","81","71","148","254"
"cv2_colour_7.png","cv2_single_7.png","Turning left","1","0","0","0","6","25","128","254"
"cv2_colour_8.png","cv2_single_8.png","Not moving","0","0","0","1","0","0","137","249"
"cv2_colour_9.png","cv2_single_9.png","Moving forward","0","1","0","0","46","1","153","253"
"cv2_colour_10.png","cv2_single_10.png","Moving forward","0","1","0","0","78","56","134","252"
"cv2_colour_11.png","cv2_single_11.png","Turning left","1","0","0","0","56","81","102","247"
"cv2_colour_12.png","cv2_single_12.png","Turning left","1","0","0","0","57","95","95","244"
"cv2_colour_13.png","cv2_single_13.png","Moving forward","0","1","0","0","118","95","159","253"
"cv2_colour_14.png","cv2_single_14.png","Turning right","0","0","1","0","152","90","195","253"
"cv2_colour_15.png","cv2_single_15.png","Turning right","0","0","1","0","177","67","234","254"
"cv2_colour_16.png","cv2_single_16.png","Turning right","0","0","1","0","147","48","203","253"
"cv2_colour_17.png","cv2_single_17.png","Turning left","1","0","0","0","33","33","99","244"
"cv2_colour_18.png","cv2_single_18.png","Turning left","1","0","0","0","28","48","79","246"
"cv2_colour_19.png","cv2_single_19.png","Turning left","1","0","0","0","45","81","88","244"
"cv2_colour_20.png","cv2_single_20.png","Turning left","1","0","0","0","57","94","99","245"
"cv2_colour_21.png","cv2_single_21.png","Turning left","1","0","0","0","64","91","110","247"
"cv2_colour_22.png","cv2_single_22.png","Moving forward","0","1","0","0","98","69","159","253"
"cv2_colour_23.png","cv2_single_23.png","Moving forward","0","1","0","0","97","33","166","254"
"cv2_colour_24.png","cv2_single_24.png","Turning left","1","0","0","0","43","65","97","247"
"cv2_colour_25.png","cv2_single_25.png","Moving forward","0","1","0","0","132","71","186","253"
"cv2_colour_26.png","cv2_single_26.png","Turning right","0","0","1","0","185","53","250","253"
"cv2_colour_27.png","cv2_single_27.png","Turning right","0","0","1","0","187","3","251","254"
"cv2_colour_28.png","cv2_single_28.png","Turning left","1","0","0","0","48","14","125","249"
"cv2_colour_29.png","cv2_single_29.png","Turning left","1","0","0","0","11","32","72","246"
"cv2_colour_30.png","cv2_single_30.png","Turning left","1","0","0","0","71","79","118","251"
"cv2_colour_31.png","cv2_single_31.png","Moving forward","0","1","0","0","122","94","164","254"
"cv2_colour_32.png","cv2_single_32.png","Turning right","0","0","1","0","156","82","206","253"
"cv2_colour_33.png","cv2_single_33.png","Turning right","0","0","1","0","166","72","217","253"
"cv2_colour_34.png","cv2_single_34.png","Moving forward","0","1","0","0","138","94","178","254"
"cv2_colour_35.png","cv2_single_35.png","Moving forward","0","1","0","0","76","95","120","251"
"cv2_colour_36.png","cv2_single_36.png","Turning left","1","0","0","0","35","78","80","245"
"cv2_colour_37.png","cv2_single_37.png","Turning left","1","0","0","0","59","61","109","248"
"cv2_colour_38.png","cv2_single_38.png","Moving forward","0","1","0","0","132","58","186","254"
"cv2_colour_39.png","cv2_single_39.png","Moving forward","0","1","0","0","103","15","189","253"
"cv2_colour_40.png","cv2_single_40.png","Turning left","1","0","0","0","56","3","134","252"
"cv2_colour_41.png","cv2_single_41.png","Moving forward","0","1","0","0","113","51","168","253"
"cv2_colour_42.png","cv2_single_42.png","Moving forward","0","1","0","0","100","31","196","253"
"cv2_colour_43.png","cv2_single_43.png","Moving forward","0","1","0","0","58","0","172","252"
"cv2_colour_44.png","cv2_single_44.png","Moving forward","0","1","0","0","96","0","215","253"
"cv2_colour_45.png","cv2_single_45.png","Not moving","0","0","0","1","33","0","244","254"
"cv2_colour_46.png","cv2_single_46.png","Not moving","0","0","0","1","40","0","254","254"
"cv2_colour_47.png","cv2_single_47.png","Not moving","0","0","0","1","47","0","254","254"
"cv2_colour_48.png","cv2_single_48.png","Turning right","0","0","1","0","147","101","195","256"
"cv2_colour_49.png","cv2_single_49.png","Turning right","0","0","1","0","144","97","194","255"
"cv2_colour_50.png","cv2_single_50.png","Turning right","0","0","1","0","144","99","194","255"
"cv2_colour_51.png","cv2_single_51.png","Turning right","0","0","1","0","144","99","194","255"
"cv2_colour_52.png","cv2_single_52.png","Turning right","0","0","1","0","143","99","194","255"
"cv2_colour_53.png","cv2_single_53.png","Turning right","0","0","1","0","143","99","194","255"
"cv2_colour_54.png","cv2_single_54.png","Turning right","0","0","1","0","143","99","195","255"
"cv2_colour_55.png","cv2_single_55.png","Turning right","0","0","1","0","143","99","194","255"
"cv2_colour_56.png","cv2_single_56.png","Turning right","0","0","1","0","143","99","194","255"
"cv2_colour_57.png","cv2_single_57.png","Turning right","0","0","1","0","143","99","195","255"
"cv2_colour_58.png","cv2_single_58.png","Turning right","0","0","1","0","143","99","195","255"
"cv2_colour_59.png","cv2_single_59.png","Turning right","0","0","1","0","143","99","195","255"
"cv2_colour_60.png","cv2_single_60.png","Turning right","0","0","1","0","160","99","204","255"
"cv2_colour_61.png","cv2_single_61.png","Moving forward","0","1","0","0","120","94","170","253"
"cv2_colour_62.png","cv2_single_62.png","Turning left","1","0","0","0","28","69","99","254"
"cv2_colour_63.png","cv2_single_63.png","Moving forward","0","1","0","0","111","30","197","254"
"cv2_colour_64.png","cv2_single_64.png","Turning right","0","0","1","0","135","0","252","254"
"cv2_colour_65.png","cv2_single_65.png","Turning left","1","0","0","0","10","0","120","253"
"cv2_colour_66.png","cv2_single_66.png","Turning left","1","0","0","0","0","38","66","239"
"cv2_colour_67.png","cv2_single_67.png","Turning left","1","0","0","0","31","80","87","253"
"cv2_colour_68.png","cv2_single_68.png","Moving forward","0","1","0","0","91","100","130","253"
"cv2_colour_69.png","cv2_single_69.png","Moving forward","0","1","0","0","123","114","153","226"
"cv2_colour_70.png","cv2_single_70.png","Turning right","0","0","1","0","184","116","206","192"
"cv2_colour_71.png","cv2_single_71.png","Turning right","0","0","1","0","159","118","183","192"
"cv2_colour_72.png","cv2_single_72.png","Moving forward","0","1","0","0","111","115","142","238"
"cv2_colour_73.png","cv2_single_73.png","Moving forward","0","1","0","0","98","107","132","249"
"cv2_colour_74.png","cv2_single_74.png","Moving forward","0","1","0","0","123","97","168","253"
"cv2_colour_75.png","cv2_single_75.png","Turning right","0","0","1","0","160","91","203","253"
"cv2_colour_76.png","cv2_single_76.png","Moving forward","0","1","0","0","134","79","184","253"
"cv2_colour_77.png","cv2_single_77.png","Turning left","1","0","0","0","56","69","104","251"
"cv2_colour_78.png","cv2_single_78.png","Turning left","1","0","0","0","12","57","61","244"
"cv2_colour_79.png","cv2_single_79.png","Turning left","1","0","0","0","63","55","119","249"
"cv2_colour_80.png","cv2_single_80.png","Turning right","0","0","1","0","122","29","201","254"
"cv2_colour_81.png","cv2_single_81.png","Turning left","1","0","0","0","42","1","147","254"
"cv2_colour_82.png","cv2_single_82.png","Turning left","1","0","0","0","0","0","90","254"
"cv2_colour_83.png","cv2_single_83.png","Moving forward","0","1","0","0","94","3","193","254"
"cv2_colour_84.png","cv2_single_84.png","Moving forward","0","1","0","0","118","25","203","254"
"cv2_colour_85.png","cv2_single_85.png","Turning left","1","0","0","0","41","57","106","253"
"cv2_colour_86.png","cv2_single_86.png","Turning left","1","0","0","0","0","66","49","251"
"cv2_colour_87.png","cv2_single_87.png","Turning left","1","0","0","0","22","70","70","251"
"cv2_colour_88.png","cv2_single_88.png","Moving forward","0","1","0","0","117","86","163","254"
"cv2_colour_89.png","cv2_single_89.png","Turning right","0","0","1","0","160","90","206","252"
"cv2_colour_90.png","cv2_single_90.png","Turning right","0","0","1","0","186","91","226","250"
"cv2_colour_91.png","cv2_single_91.png","Turning right","0","0","1","0","170","92","210","250"
"cv2_colour_92.png","cv2_single_92.png","Moving forward","0","1","0","0","86","77","136","252"
"cv2_colour_93.png","cv2_single_93.png","Moving forward","0","1","0","0","84","55","143","252"
"cv2_colour_94.png","cv2_single_94.png","Turning right","0","0","1","0","111","7","215","254"
"cv2_colour_95.png","cv2_single_95.png","Not moving","0","0","0","1","72","0","205","254"
"cv2_colour_96.png","cv2_single_96.png","Turning left","1","0","0","0","0","22","93","255"
"cv2_colour_97.png","cv2_single_97.png","Moving forward","0","1","0","0","83","84","124","252"
"cv2_colour_98.png","cv2_single_98.png","Moving forward","0","1","0","0","84","91","125","250"
"cv2_colour_99.png","cv2_single_99.png","Turning right","0","0","1","0","145","92","190","253"
"cv2_colour_100.png","cv2_single_100.png","Turning right","0","0","1","0","149","100","197","251"
"cv2_colour_101.png","cv2_single_101.png","Turning right","0","0","1","0","142","98","199","254"
"cv2_colour_102.png","cv2_single_102.png","Turning right","0","0","1","0","136","97","201","254"
"cv2_colour_103.png","cv2_single_103.png","Turning right","0","0","1","0","135","97","200","254"
